Term,Definition,Comments/adjustments,Source Attribution,Source Comments
Dual Inline Memory Module (DIMM),A type of memory module that uses separate electrical contacts on both sides of the memory module to connect to a computer’s memory bus.,New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
DIMM (Dual Inline Memory Module),Refer to “Dual Inline Memory Module”,New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
"Environment, Social, and Governance (ESG)","A framework for evaluating the sustainability and ethical impact of a company’s operations, focusing on environmental stewardship, social responsibility, and governance practices.",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
"ESG (Environment, Social, and Governance)","Refer to “Environment, Social, and Governance”",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
Polyether Ether Ketone (PEEK),"A high-performance polymer known for its excellent mechanical properties, thermal stability, and chemical resistance.",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
PEEK (Polyether Ether Ketone),"Refer to ""Polyether Ether Ketone”",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
Thermal Test Vehicle (TTV),"A test device that simulates the form factor, thermal power, and heat distribution of an electronic component for testing purposes.",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
TTV (Thermal Test Vehicle),Refer to “Thermal Test Vehicle”,New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
Universal Quick Disconnect (UQD),"A standardized connector that allows for the fast and secure disconnection and reconnection of fluid lines, commonly used in liquid cooling systems.",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
UQD (Universal Quick Disconnect),"Refer to ""Universal Quick Disconnect""",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
xPU,"Any type of Processor Unit, including CPUs, GPUs, or specialized AI accelerators.",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
PAO x (Polyalphaolefins),"A notation used to refer to specific variants of “Polyalphaolefins (PAO)”, where ""x"" denotes the nominal fluid kinematic viscosity in ""Centistokes (cSt)"" at 100°C. ",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Targeted Flow Efficiency Heat Sink SPEC document
Centistokes (cSt),"A unit of kinematic viscosity, where 1 centistoke equals 1 millimeter squared per second (mm²/s). It measures the resistance of a fluid to flow under the influence of gravity.",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion
cSt (Centistokes),"Refer to ""Centistokes""",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion
Heat Rejection Unit (HRU),A device or system designed to remove excess heat from a cooling loop and reject it away from the system being cooled.,New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion
Return Merchandise Authorization (RMA),"A process in which a customer obtains authorization to return a product for repair, replacement, or refund, typically due to a defect or warranty issue.",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion
RMA (Return Merchandise Authorization),"Refer to ""Return Merchandise Authorization""",New definition,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: Promersion
